ShortCode,Code6392B,Code6392T,LanguageName,LanguageNative,Direction,Script
ps,pus,pus,"Pashto, Pushto",پښتو,rtl,Arab
pt,por,por,Portuguese,português,ltr,Latn
qu,que,que,Quechua,"Runa Simi, Kichwa",ltr,Latn
rm,roh,roh,Romansh,rumantsch grischun,ltr,Latn
rn,run,run,Kirundi,Ikirundi,ltr,Latn
ro,ron,rum,Romanian,limba română,ltr,Latn
ru,rus,rus,Russian,русский язык,ltr,Cyrl
rw,kin,kin,Kinyarwanda,Ikinyarwanda,ltr,Latn
sa,san,san,Sanskrit (Saṁskṛta),संस्कृतम्,ltr,NULL
sc,srd,srd,Sardinian,sardu,ltr,NULL
sd,snd,snd,Sindhi,"सिन्धी, سنڌي، سندھی‎",ltr,NULL
se,sme,sme,Northern Sami,Davvisámegiella,ltr,NULL
sg,sag,sag,Sango,yângâ tî sängö,ltr,Latn
si,sin,sin,"Sinhala, Sinhalese",සිංහල,ltr,Sinh
sk,slk,slo,Slovak,"slovenčina, slovenský jazyk",ltr,Latn
sl,slv,slv,Slovene,"slovenski jezik, slovenščina",ltr,Latn
sm,smo,smo,Samoan,gagana fa'a Samoa,ltr,Latn
sn,sna,sna,Shona,chiShona,ltr,NULL
so,som,som,Somali,"Soomaaliga, af Soomaali",ltr,Latn
sq,sqi,alb,Albanian,gjuha shqipe,ltr,Latn
sr,srp,srp,Serbian,српски језик,ltr,NULL
ss,ssw,ssw,Swati,SiSwati,ltr,Latn
st,sot,sot,Southern Sotho,Sesotho,ltr,Latn
su,sun,sun,Sundanese,Basa Sunda,ltr,NULL
sv,swe,swe,Swedish,Svenska,ltr,Latn
sw,swa,swa,Swahili,Kiswahili,ltr,Latn
ta,tam,tam,Tamil,தமிழ்,ltr,Taml
te,tel,tel,Telugu,తెలుగు,ltr,Telu
tg,tgk,tgk,Tajik,"тоҷикӣ, toğikī, تاجیکی‎",ltr,NULL
th,tha,tha,Thai,ไทย,ltr,Thai
ti,tir,tir,Tigrinya,ትግርኛ,ltr,Ethi
tk,tuk,tuk,Turkmen,"Türkmen, Түркмен",ltr,NULL
tl,tgl,tgl,Tagalog,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔",ltr,Latn
tn,tsn,tsn,Tswana,Setswana,ltr,Latn
to,ton,ton,Tonga (Tonga Islands),faka Tonga,ltr,Latn
tr,tur,tur,Turkish,Türkçe,ltr,Latn
ts,tso,tso,Tsonga,Xitsonga,ltr,Latn
tt,tat,tat,Tatar,"татар теле, tatar tele",ltr,NULL
tw,twi,twi,Twi,Twi,ltr,NULL
ty,tah,tah,Tahitian,Reo Tahiti,ltr,NULL
ug,uig,uig,"Uyghur, Uighur","Uyƣurqə, ئۇيغۇرچە‎",ltr,NULL
uk,ukr,ukr,Ukrainian,українська мова,ltr,Cyrl
ur,urd,urd,Urdu,اردو,rtl,Arab
uz,uzb,uzb,Uzbek,"O‘zbek, Ўзбек, أۇزبېك‎",ltr,NULL
ve,ven,ven,Venda,Tshivenḓa,ltr,Latn
vi,vie,vie,Vietnamese,Tiếng Việt,ltr,Latn
vo,vol,vol,Volapük,Volapük,ltr,NULL
wa,wln,wln,Walloon,walon,ltr,NULL
wo,wol,wol,Wolof,Wollof,ltr,NULL
xh,xho,xho,Xhosa,isiXhosa,ltr,Latn
yi,yid,yid,Yiddish,ייִדיש,rtl,Hebr
yo,yor,yor,Yoruba,Yorùbá,ltr,NULL
za,zha,zha,"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",ltr,NULL
zh,zho,chi,Chinese,"中文 (Zhōngwén), 汉语, 漢語",ltr,NULL
zu,zul,zul,Zulu,isiZulu,ltr,Latn
